SubCode,Class,Day,StartTime,EndTime,Room,Teacher
CSCI291,Workshop,Monday,14:30,16:30,3.42-Classroom B,Ashna Sreejith
CSCI291,Workshop,Monday,14:30,16:30,3.42-Classroom B,Halima Asif
CSCI291,Workshop,Monday,16:30,18:30,3.42-Classroom B,Ashna Sreejith
CSCI291,Workshop,Monday,16:30,18:30,3.42-Classroom B,Halima Asif
CSCI291,Workshop,Wednesday,14:30,16:30,5.12-Informal Classroom,Ashna Sreejith
CSCI291,Workshop,Wednesday,14:30,16:30,5.12-Informal Classroom,Halima Asif
CSCI291,Workshop,Wednesday,12:30,14:30,5.12-Informal Classroom,Ashna Sreejith
CSCI291,Workshop,Wednesday,12:30,14:30,5.12-Informal Classroom,Halima Asif
CSCI336,Computer Lab,Tuesday,08:30,10:30,3.47-Game Dev Lab Dual Screens,Shahrul Sah
CSCI336,Computer Lab,Tuesday,10:30,12:30,3.47-Game Dev Lab Dual Screens,Shahrul Sah
CSCI336,Lecture,Wednesday,08:30,10:30,3.46-Classroom A,HC Lim
CSCI336,Tutorial,Wednesday,14:30,15:30,3.46-Classroom A,HC Lim
CSCI336,Tutorial,Wednesday,10:30,11:30,6.33-Computer Lab,HC Lim
CSCI350,Lecture,Wednesday,12:30,13:30,2.70-Block 19,Halim Khelalfa
CSCI368,Computer Lab,Wednesday,16:30,18:30,6.39-Computer Lab,Suzan Sallam
CSCI368,Computer Lab,Thursday,10:30,12:30,3.52-Computer Lab (Network),Suzan Sallam
CSCI368,Computer Lab,Tuesday,12:30,14:30,6.33-Computer Lab,Mouhannad Al Attar
CSCI368,Computer Lab,Tuesday,08:30,10:30,6.33-Computer Lab,Mouhannad Al Attar
CSCI368,Computer Lab,Monday,14:30,16:30,3.52-Computer Lab (Network),Suzan Sallam
CSCI368,Computer Lab,Thursday,08:30,10:30,3.52-Computer Lab (Network),Suzan Sallam
CSCI368,Computer Lab,Thursday,12:30,14:30,3.52-Computer Lab (Network),Suzan Sallam
CSCI368,Lecture,Wednesday,14:30,16:30,3.44-Classroom B,Mouhannad Al Attar
CSCI368,Lecture,Friday,16:30,18:30,5.11-Classroom B,Mouhannad Al Attar
CSCI368,Tutorial,Monday,11:30,12:30,3.48-Classroom B,Suzan Sallam
CSCI368,Tutorial,Wednesday,12:30,13:30,5.18-Classroom A,Suzan Sallam
CSCI368,Tutorial,Wednesday,12:30,13:30,5.17-Classroom VC,Tina Thomas
CSCI368,Tutorial,Wednesday,11:30,12:30,3.42-Classroom B,Suzan Sallam
CSCI368,Tutorial,Monday,10:30,11:30,3.48-Classroom B,Suzan Sallam
CSCI368,Tutorial,Monday,13:30,14:30,3.48-Classroom B,Suzan Sallam
CSCI368,Tutorial,Wednesday,13:30,14:30,5.18-Classroom A,Suzan Sallam
CSIT040,Lecture,Tuesday,10:30,14:30,2.62/63-Combined-Block 19,Kiyan Afsari
CSIT040,Lecture,Tuesday,10:30,14:30,2.62/63-Combined-Block 19,Mai El Barachi
CSIT040,Lecture,Tuesday,10:30,14:30,2.62/63-Combined-Block 19,Tina Thomas
CSIT040,Lecture,Wednesday,14:30,18:30,5.11-Classroom B,Kiyan Afsari
CSIT040,Lecture,Wednesday,14:30,18:30,5.11-Classroom B,Mai El Barachi
CSIT040,Lecture,Wednesday,14:30,18:30,5.11-Classroom B,Tina Thomas
CSIT110,Computer Lab,Monday,12:30,14:30,4.42-Computer Lab (Single Screen),George Tsaramirsis
CSIT110,Computer Lab,Wednesday,12:30,14:30,1.52-Computer Lab Single,Obaid Ullah
CSIT110,Computer Lab,Tuesday,12:30,14:30,1.52-Computer Lab Single,Syama K
CSIT110,Computer Lab,Wednesday,16:30,18:30,6.40-Computer Lab,George Tsaramirsis
CSIT110,Computer Lab,Monday,14:30,16:30,6.39-Computer Lab,Obaid Ullah
CSIT110,Computer Lab,Monday,12:30,14:30,6.39-Computer Lab,Obaid Ullah
CSIT110,Computer Lab,Wednesday,14:30,16:30,6.39-Computer Lab,Salma Zalkha
CSIT110,Computer Lab,Tuesday,14:30,16:30,4.42-Computer Lab (Single Screen),Obaid Ullah
CSIT110,Computer Lab,Tuesday,12:30,14:30,6.40-Computer Lab,Salma Zalkha
CSIT110,Computer Lab,Thursday,08:30,10:30,4.42-Computer Lab (Single Screen),Pradnya Bhagwat
CSIT110,Computer Lab,Monday,14:30,16:30,6.36-Computer Lab (Single Screen),Syama K
CSIT110,Computer Lab,Monday,12:30,14:30,6.33-Computer Lab,Pradnya Bhagwat
CSIT110,Computer Lab,Friday,10:30,12:30,6.39-Computer Lab,Pradnya Bhagwat
CSIT110,Computer Lab,Monday,12:30,14:30,1.52-Computer Lab Single,Soly Mathew
CSIT110,Computer Lab,Wednesday,08:30,10:30,6.33-Computer Lab,Sonia Dagou
CSIT110,Computer Lab,Thursday,12:30,14:30,1.52-Computer Lab Single,Syama K
CSIT110,Computer Lab,Wednesday,14:30,16:30,6.36-Computer Lab (Single Screen),Sonia Dagou
CSIT110,Lecture,Monday,08:30,11:30,5.11-Classroom B,Soly Mathew
CSIT110,Lecture,Tuesday,08:30,11:30,4.44-Classroom B,Soly Mathew
CSIT110,Lecture,Monday,08:30,11:30,3.44-Classroom B,George Tsaramirsis
CSIT110,Lecture,Tuesday,08:30,11:30,3.44-Classroom B,George Tsaramirsis
CSIT110,Lecture,Wednesday,11:30,14:30,6.32-Classroom B,George Tsaramirsis
CSIT114,Computer Lab,Friday,14:30,16:30,6.36-Computer Lab (Single Screen),Sara Azeem Khan
CSIT114,Computer Lab,Monday,14:30,16:30,3.47-Game Dev Lab Dual Screens,Sara Azeem Khan
CSIT114,Computer Lab,Friday,08:30,10:30,6.39-Computer Lab,Sara Azeem Khan
CSIT114,Computer Lab,Wednesday,12:30,14:30,6.39-Computer Lab,Sara Azeem Khan
CSIT114,Computer Lab,Thursday,14:30,16:30,6.33-Computer Lab,Pradnya Bhagwat
CSIT114,Computer Lab,Wednesday,12:30,14:30,3.47-Game Dev Lab Dual Screens,Sara Majeed
CSIT114,Computer Lab,Thursday,10:30,12:30,6.40-Computer Lab,Pradnya Bhagwat
CSIT114,Computer Lab,Friday,10:30,12:30,3.47-Game Dev Lab Dual Screens,Sara Majeed
CSIT114,Computer Lab,Wednesday,16:30,18:30,6.33-Computer Lab,Sara Azeem Khan
